"Repository","Commit","Date","Author","Summary"
"xsainteer/ArabicaCliento-xsainteer","3a22257","2025-07-15T09:31:46Z","Gagarinten-Noverdo","Merge pull request #9 from noverd/cheatmenu_fix_2025-07-13"
"xsainteer/ArabicaCliento-xsainteer","ea1906a","2025-07-15T09:27:16Z","noverd","feat: overlays disable button"
"xsainteer/ArabicaCliento-xsainteer","6d85d97","2025-07-15T08:20:07Z","noverd","feat: shit remove"
"xsainteer/ArabicaCliento-xsainteer","6996aa0","2025-07-15T08:19:40Z","noverd","fix: ci/cd for net9.0"
"xsainteer/ArabicaCliento-xsainteer","d6d3a44","2025-07-15T08:18:04Z","noverd","feat: net9.0+submodule update"
"voko421/AzerbicaCliento","7104efc","2026-02-04T15:55:28Z","voko421","Merge pull request #2 from voko421/main"
"voko421/AzerbicaCliento","7cbc1db","2026-02-04T15:02:41Z","voko421","rename + change discord"
"voko421/AzerbicaCliento","2c7f7d6","2026-02-04T15:01:12Z","voko421","Update README.md"
"voko421/AzerbicaCliento","723a46e","2026-02-04T14:59:57Z","voko421","Update README.md"
"voko421/AzerbicaCliento","0e05010","2026-02-04T14:14:54Z","voko421","Update README.md"
"TerrariumCat/ArabicaCliento","3a22257","2025-07-15T09:31:46Z","Gagarinten-Noverdo","Merge pull request #9 from noverd/cheatmenu_fix_2025-07-13"
"TerrariumCat/ArabicaCliento","ea1906a","2025-07-15T09:27:16Z","noverd","feat: overlays disable button"
"TerrariumCat/ArabicaCliento","6d85d97","2025-07-15T08:20:07Z","noverd","feat: shit remove"
"TerrariumCat/ArabicaCliento","6996aa0","2025-07-15T08:19:40Z","noverd","fix: ci/cd for net9.0"
"TerrariumCat/ArabicaCliento","d6d3a44","2025-07-15T08:18:04Z","noverd","feat: net9.0+submodule update"
"shepardzs/ArabicaCliento","5d19412","2026-03-28T13:08:01Z","shepardzs","Update publish_release.yml"
"shepardzs/ArabicaCliento","4e0e0d9","2026-03-28T12:07:00Z","shepardzs","Change MouseRotatorPatch prefix to always return true"
"shepardzs/ArabicaCliento","3a22257","2025-07-15T09:31:46Z","Gagarinten-Noverdo","Merge pull request #9 from noverd/cheatmenu_fix_2025-07-13"
"shepardzs/ArabicaCliento","ea1906a","2025-07-15T09:27:16Z","noverd","feat: overlays disable button"
"shepardzs/ArabicaCliento","6d85d97","2025-07-15T08:20:07Z","noverd","feat: shit remove"
"noverd/ArabicaCliento","3a22257","2025-07-15T09:31:46Z","Gagarinten-Noverdo","Merge pull request #9 from noverd/cheatmenu_fix_2025-07-13"
"noverd/ArabicaCliento","ea1906a","2025-07-15T09:27:16Z","noverd","feat: overlays disable button"
"noverd/ArabicaCliento","6d85d97","2025-07-15T08:20:07Z","noverd","feat: shit remove"
"noverd/ArabicaCliento","6996aa0","2025-07-15T08:19:40Z","noverd","fix: ci/cd for net9.0"
"noverd/ArabicaCliento","d6d3a44","2025-07-15T08:18:04Z","noverd","feat: net9.0+submodule update"
"lexaSvarshik/ArabicaCliento","8b1969b","2024-11-15T19:54:11Z","noverd","Formation fix"
"lexaSvarshik/ArabicaCliento","ce3ed44","2024-11-15T19:53:10Z","noverd","Shitfix & ReadME.md"
"lexaSvarshik/ArabicaCliento","11e08ce","2024-11-15T19:06:37Z","noverd","GunUpdatePatch optimization (oh no ??=); SyndieDetector; UI update"
"lexaSvarshik/ArabicaCliento","ab5ccad","2024-11-12T19:36:01Z","noverd","Icons update"
"lexaSvarshik/ArabicaCliento","aa256e1","2024-11-12T14:55:27Z","Gagarinten-Noverdo","Merge pull request #3 from voko421/More-overlays"
"LetBoss/s","3a22257","2025-07-15T09:31:46Z","Gagarinten-Noverdo","Merge pull request #9 from noverd/cheatmenu_fix_2025-07-13"
"LetBoss/s","ea1906a","2025-07-15T09:27:16Z","noverd","feat: overlays disable button"
"LetBoss/s","6d85d97","2025-07-15T08:20:07Z","noverd","feat: shit remove"
"LetBoss/s","6996aa0","2025-07-15T08:19:40Z","noverd","fix: ci/cd for net9.0"
"LetBoss/s","d6d3a44","2025-07-15T08:18:04Z","noverd","feat: net9.0+submodule update"
"kakih-user/ArabicaCliento","3a22257","2025-07-15T09:31:46Z","Gagarinten-Noverdo","Merge pull request #9 from noverd/cheatmenu_fix_2025-07-13"
"kakih-user/ArabicaCliento","ea1906a","2025-07-15T09:27:16Z","noverd","feat: overlays disable button"
"kakih-user/ArabicaCliento","6d85d97","2025-07-15T08:20:07Z","noverd","feat: shit remove"
"kakih-user/ArabicaCliento","6996aa0","2025-07-15T08:19:40Z","noverd","fix: ci/cd for net9.0"
"kakih-user/ArabicaCliento","d6d3a44","2025-07-15T08:18:04Z","noverd","feat: net9.0+submodule update"
"hircani200/ArabicaCliento","96c39ad","2024-12-05T13:59:01Z","Gagarinten-Noverdo","Merge pull request #6 from noverd/performance_fix"
"hircani200/ArabicaCliento","8b02142","2024-11-18T18:53:47Z","noverd","Closing by press button"
"hircani200/ArabicaCliento","61d6360","2024-11-18T18:38:27Z","noverd","fix of fix??"
"hircani200/ArabicaCliento","8520a38","2024-11-18T18:05:48Z","noverd","fix of shit"
"hircani200/ArabicaCliento","8b1969b","2024-11-15T19:54:11Z","noverd","Formation fix"
"ExTreeMe7/FurryAudioReconnect","6abb322","2026-06-10T08:32:17Z","Driias","Initial release"
"DobriyKaban/SS14.Transmog","bce52ab","2025-06-02T20:48:33Z","Conchelle","Non-descriptive update"
"DobriyKaban/OpenHook","4b8baaf","2026-01-03T07:30:33Z","Zakurey","Update README.md"
"DobriyKaban/OpenHook","f32bf94","2026-01-03T07:14:00Z","Sakurey","Чут чут забыл"
"DobriyKaban/OpenHook","1638cfc","2026-01-03T07:12:48Z","Sakurey","Merge remote-tracking branch 'origin/master'"
"DobriyKaban/OpenHook","05a5e1c","2026-01-03T07:12:40Z","Sakurey","Ребрендинг"
"DobriyKaban/OpenHook","63b289b","2026-01-03T05:27:34Z","Zakurey","Update README.md"
"ddepsadd/photoTroll","b5fb060","2026-03-10T19:08:31Z","Sakurey","Initial commit"
"ddepsadd/OpenHook","30ea3e5","2026-02-26T18:15:31Z","Depsad","Update README.md"
"ddepsadd/OpenHook","bab23e0","2026-02-26T18:14:40Z","Depsad","Rename Снимок экрана 2026-02-26 220432.png to ZakurSmert.png"
"ddepsadd/OpenHook","9685533","2026-02-26T18:14:16Z","Depsad","Mem"
"ddepsadd/OpenHook","4b8baaf","2026-01-03T07:30:33Z","Zakurey","Update README.md"
"ddepsadd/OpenHook","f32bf94","2026-01-03T07:14:00Z","Sakurey","Чут чут забыл"
"ddepsadd/MusyaBlueprints","8975f93","2026-05-30T04:19:48Z","depsad","New blueprint standards"
"ddepsadd/MusyaBlueprints","037a867","2026-03-10T17:21:42Z","Sakurey","Initial commit"
"ddepsadd/gemini.cc-decomp","84ec05c","2026-05-06T09:25:12Z","Reverberation","Update README.MD"
"ddepsadd/gemini.cc-decomp","d080a5f","2026-05-06T09:18:32Z","Hinako Hanamura","cracking"
"ddepsadd/gemini.cc-decomp","d34061f","2026-05-06T08:44:07Z","Hinako Hanamura","Non-descriptive/offensive commit message omitted"
"ddepsadd/gemini.cc-decomp","9b5085f","2026-05-06T06:21:34Z","Hinako Hanamura","Non-descriptive/offensive commit message omitted"
"d0r11s1m0/ArabicaCliento","3a22257","2025-07-15T09:31:46Z","Gagarinten-Noverdo","Merge pull request #9 from noverd/cheatmenu_fix_2025-07-13"
"d0r11s1m0/ArabicaCliento","ea1906a","2025-07-15T09:27:16Z","noverd","feat: overlays disable button"
"d0r11s1m0/ArabicaCliento","6d85d97","2025-07-15T08:20:07Z","noverd","feat: shit remove"
"d0r11s1m0/ArabicaCliento","6996aa0","2025-07-15T08:19:40Z","noverd","fix: ci/cd for net9.0"
"d0r11s1m0/ArabicaCliento","d6d3a44","2025-07-15T08:18:04Z","noverd","feat: net9.0+submodule update"
"cheltyi/ArabicaCliento","96c39ad","2024-12-05T13:59:01Z","Gagarinten-Noverdo","Merge pull request #6 from noverd/performance_fix"
"cheltyi/ArabicaCliento","8b02142","2024-11-18T18:53:47Z","noverd","Closing by press button"
"cheltyi/ArabicaCliento","61d6360","2024-11-18T18:38:27Z","noverd","fix of fix??"
"cheltyi/ArabicaCliento","8520a38","2024-11-18T18:05:48Z","noverd","fix of shit"
"cheltyi/ArabicaCliento","8b1969b","2024-11-15T19:54:11Z","noverd","Formation fix"
"AZERBAIJAN-TECH/AzerbicaCliento","7104efc","2026-02-04T15:55:28Z","voko421","Merge pull request #2 from voko421/main"
"AZERBAIJAN-TECH/AzerbicaCliento","7cbc1db","2026-02-04T15:02:41Z","voko421","rename + change discord"
"AZERBAIJAN-TECH/AzerbicaCliento","2c7f7d6","2026-02-04T15:01:12Z","voko421","Update README.md"
