"Repository","Url","Parent","Source","Depth","Branch","LatestCommit","LatestCommitDate","Ahead","Behind","Status","ChangedAreas","DifferenceSummary"
"ddepsadd/gemini.cc-decomp","https://github.com/ddepsadd/gemini.cc-decomp","Androclast/gemini.cc-decomp","Androclast/gemini.cc-decomp","0","main","84ec05c","2026-05-06T09:25:12Z","0","0","identical","","No difference from parent at collection time."
"DobriyKaban/SS14.Transmog","https://github.com/DobriyKaban/SS14.Transmog","Androclast/SS14.Transmog","Androclast/SS14.Transmog","0","master","bce52ab","2025-06-02T20:48:33Z","0","0","identical","","No difference from parent at collection time."
"DobriyKaban/OpenHook","https://github.com/DobriyKaban/OpenHook","ddepsadd/OpenHook","ddepsadd/OpenHook","0","master","4b8baaf","2026-01-03T07:30:33Z","0","3","behind","","Old snapshot behind parent by 3 commits; no unique ahead commits."
"AZERBAIJAN-TECH/AzerbicaCliento","https://github.com/AZERBAIJAN-TECH/AzerbicaCliento","noverd/ArabicaCliento","noverd/ArabicaCliento","1","main","7104efc","2026-02-04T15:55:28Z","7","0","ahead",".github; ArabicaCliento; ArabicaCliento.sln; build.sh; README.md; space-station-14","Forward fork ahead by 7 commits. Changed areas: .github; ArabicaCliento; ArabicaCliento.sln; build.sh; README.md; space-station-14"
"cheltyi/ArabicaCliento","https://github.com/cheltyi/ArabicaCliento","noverd/ArabicaCliento","noverd/ArabicaCliento","1","main","96c39ad","2024-12-05T13:59:01Z","0","16","behind","","Old snapshot behind parent by 16 commits; no unique ahead commits."
"d0r11s1m0/ArabicaCliento","https://github.com/d0r11s1m0/ArabicaCliento","noverd/ArabicaCliento","noverd/ArabicaCliento","1","main","3a22257","2025-07-15T09:31:46Z","0","0","identical","","No difference from parent at collection time."
"hircani200/ArabicaCliento","https://github.com/hircani200/ArabicaCliento","noverd/ArabicaCliento","noverd/ArabicaCliento","1","main","96c39ad","2024-12-05T13:59:01Z","0","16","behind","","Old snapshot behind parent by 16 commits; no unique ahead commits."
"kakih-user/ArabicaCliento","https://github.com/kakih-user/ArabicaCliento","noverd/ArabicaCliento","noverd/ArabicaCliento","1","main","3a22257","2025-07-15T09:31:46Z","0","0","identical","","No difference from parent at collection time."
"LetBoss/s","https://github.com/LetBoss/s","noverd/ArabicaCliento","noverd/ArabicaCliento","1","main","3a22257","2025-07-15T09:31:46Z","0","0","identical","","No difference from parent at collection time."
"lexaSvarshik/ArabicaCliento","https://github.com/lexaSvarshik/ArabicaCliento","noverd/ArabicaCliento","noverd/ArabicaCliento","1","main","8b1969b","2024-11-15T19:54:11Z","0","20","behind","","Old snapshot behind parent by 20 commits; no unique ahead commits."
"shepardzs/ArabicaCliento","https://github.com/shepardzs/ArabicaCliento","noverd/ArabicaCliento","noverd/ArabicaCliento","1","main","5d19412","2026-03-28T13:08:01Z","2","0","ahead",".github; ArabicaCliento","Forward fork ahead by 2 commits. Changed areas: .github; ArabicaCliento"
"TerrariumCat/ArabicaCliento","https://github.com/TerrariumCat/ArabicaCliento","noverd/ArabicaCliento","noverd/ArabicaCliento","1","main","3a22257","2025-07-15T09:31:46Z","0","0","identical","","No difference from parent at collection time."
"xsainteer/ArabicaCliento-xsainteer","https://github.com/xsainteer/ArabicaCliento-xsainteer","noverd/ArabicaCliento","noverd/ArabicaCliento","1","main","3a22257","2025-07-15T09:31:46Z","0","0","identical","","No difference from parent at collection time."
"voko421/AzerbicaCliento","https://github.com/voko421/AzerbicaCliento","AZERBAIJAN-TECH/AzerbicaCliento","noverd/ArabicaCliento","2","main","7104efc","2026-02-04T15:55:28Z","0","0","identical","","No difference from parent at collection time."
