"Repository","Url","Exists","Seed","Depth","Parent","Source","DefaultBranch","Stars","Forks","CreatedAt","PushedAt","LatestCommit","LatestCommitDate","LatestCommitSummary","DefensiveRelevance"
"Androclast/gemini.cc-decomp","https://github.com/Androclast/gemini.cc-decomp","True","Androclast/gemini.cc-decomp","0","","Androclast/gemini.cc-decomp","main","2","1","2026-05-06T08:29:53Z","2026-05-06T09:25:13Z","84ec05c","2026-05-06T09:25:12Z","Update README.MD","Gemini/Kaban-family decompiled reference"
"Androclast/SS14.Transmog","https://github.com/Androclast/SS14.Transmog","True","Androclast/SS14.Transmog","0","","Androclast/SS14.Transmog","master","1","1","2025-06-02T20:48:57Z","2025-06-02T20:49:19Z","bce52ab","2025-06-02T20:48:33Z","Non-descriptive update","SS14 transmog/cosmetic patch reference"
"ddepsadd/gemini.cc-decomp","https://github.com/ddepsadd/gemini.cc-decomp","True","ddepsadd/gemini.cc-decomp","0","Androclast/gemini.cc-decomp","Androclast/gemini.cc-decomp","main","0","0","2026-05-06T10:24:42Z","2026-05-06T09:25:13Z","84ec05c","2026-05-06T09:25:12Z","Update README.MD","Gemini/Kaban-family decompiled reference"
"ddepsadd/MusyaBlueprints","https://github.com/ddepsadd/MusyaBlueprints","True","ddepsadd/MusyaBlueprints","0","","ddepsadd/MusyaBlueprints","master","1","0","2026-03-10T17:21:03Z","2026-05-30T04:19:54Z","8975f93","2026-05-30T04:19:48Z","New blueprint standards","Musya/FurryLoader blueprint or patch metadata reference"
"ddepsadd/OpenHook","https://github.com/ddepsadd/OpenHook","True","ddepsadd/OpenHook","0","","ddepsadd/OpenHook","master","0","1","2026-01-02T12:12:03Z","2026-02-26T18:15:31Z","30ea3e5","2026-02-26T18:15:31Z","Update README.md","Hooking framework/reference repository"
"ddepsadd/photoTroll","https://github.com/ddepsadd/photoTroll","True","ddepsadd/photoTroll","0","","ddepsadd/photoTroll","master","1","0","2026-03-10T19:08:14Z","2026-03-10T19:08:45Z","b5fb060","2026-03-10T19:08:31Z","Initial commit","Unknown/utility reference requiring review"
"DobriyKaban/OpenHook","https://github.com/DobriyKaban/OpenHook","True","DobriyKaban/OpenHook","0","ddepsadd/OpenHook","ddepsadd/OpenHook","master","0","0","2026-01-03T08:10:31Z","2026-01-03T07:30:33Z","4b8baaf","2026-01-03T07:30:33Z","Update README.md","Hooking framework/reference repository"
"DobriyKaban/SS14.Transmog","https://github.com/DobriyKaban/SS14.Transmog","True","DobriyKaban/SS14.Transmog","0","Androclast/SS14.Transmog","Androclast/SS14.Transmog","master","0","0","2026-01-09T14:34:06Z","2025-06-02T20:49:19Z","bce52ab","2025-06-02T20:48:33Z","Non-descriptive update","SS14 transmog/cosmetic patch reference"
"ExTreeMe7/FurryAudioReconnect","https://github.com/ExTreeMe7/FurryAudioReconnect","True","ExTreeMe7/FurryAudioReconnect","0","","ExTreeMe7/FurryAudioReconnect","main","0","0","2026-06-10T08:17:03Z","2026-06-10T08:32:21Z","6abb322","2026-06-10T08:32:17Z","Initial release","Benign SS14 OpenAL audio reconnect patch reference"
"noverd/ArabicaCliento","https://github.com/noverd/ArabicaCliento","True","noverd/ArabicaCliento","0","","noverd/ArabicaCliento","main","21","11","2024-05-27T12:14:30Z","2025-07-17T09:15:53Z","3a22257","2025-07-15T09:31:46Z","Merge pull request #9 from noverd/cheatmenu_fix_2025-07-13","Modified SS14 client / patch framework reference"
"AZERBAIJAN-TECH/AzerbicaCliento","https://github.com/AZERBAIJAN-TECH/AzerbicaCliento","True","noverd/ArabicaCliento","1","noverd/ArabicaCliento","noverd/ArabicaCliento","main","0","1","2026-02-02T13:04:43Z","2026-02-04T15:59:20Z","7104efc","2026-02-04T15:55:28Z","Merge pull request #2 from voko421/main","Modified SS14 client / patch framework reference"
"cheltyi/ArabicaCliento","https://github.com/cheltyi/ArabicaCliento","True","noverd/ArabicaCliento","1","noverd/ArabicaCliento","noverd/ArabicaCliento","main","0","0","2024-12-14T08:08:32Z","2024-12-05T13:59:01Z","96c39ad","2024-12-05T13:59:01Z","Merge pull request #6 from noverd/performance_fix","Modified SS14 client / patch framework reference"
"d0r11s1m0/ArabicaCliento","https://github.com/d0r11s1m0/ArabicaCliento","True","noverd/ArabicaCliento","1","noverd/ArabicaCliento","noverd/ArabicaCliento","main","0","0","2025-08-24T12:36:28Z","2025-08-24T12:36:52Z","3a22257","2025-07-15T09:31:46Z","Merge pull request #9 from noverd/cheatmenu_fix_2025-07-13","Modified SS14 client / patch framework reference"
"hircani200/ArabicaCliento","https://github.com/hircani200/ArabicaCliento","True","noverd/ArabicaCliento","1","noverd/ArabicaCliento","noverd/ArabicaCliento","main","0","0","2024-12-14T18:06:11Z","2024-12-05T13:59:01Z","96c39ad","2024-12-05T13:59:01Z","Merge pull request #6 from noverd/performance_fix","Modified SS14 client / patch framework reference"
