"RelativePath","FileName","Length","SHA256","Hash8","Managed","AssemblyName","Version","Error"
"DLLs\NEW\AntiCheatBypass.dll","AntiCheatBypass.dll","289280","C1457D01999DA1A552460FED69DD27A1E16BFBE2EBFB654ED024D3C8FD590F3E","C1457D01","True","ClassLibrary1","1.0.0.0",""
"DLLs\NEW\CerbFix\CerberusWareV3.dll","CerberusWareV3.dll","2963456","62D9C8E3F6369EACF28BD0D0DA776B50B8657F48E1C7F242B250716865E02142","62D9C8E3","True","CerberusWareV3","1.0.0.0",""
"DLLs\NEW\CerbFix\Hexa.NET.ImGui.Backends.dll","Hexa.NET.ImGui.Backends.dll","72192","A8AC0B8926AB4E0FBF811ECC556510E97BEA0BF8672C06EF3F73B0A35ABA7970","A8AC0B89","True","Hexa.NET.ImGui.Backends","1.0.11.0",""
"DLLs\NEW\CerbFix\Hexa.NET.ImGui.dll","Hexa.NET.ImGui.dll","5165568","4E73425C3A064CA8F91BA3D50A86370A14EB80004F055966F855B9937079ADB3","4E73425C","True","Hexa.NET.ImGui","1.91.9.0",""
"DLLs\NEW\CerbFix\HexaGen.Runtime.dll","HexaGen.Runtime.dll","24064","ED9EABA4E2E8303D6279D1EDD47FC5EE67F869D6B3A57573E961D1B1B0D2C10E","ED9EABA4","True","HexaGen.Runtime","1.1.0.0",""
"DLLs\NEW\CerbFix\ImGui.NET.dll","ImGui.NET.dll","314880","8CA9FCD6BAA37A7824B93FC2B722BAFB04749B4565178353D92EED3D7F275E19","8CA9FCD6","True","ImGui.NET","1.91.0.1",""
"DLLs\NEW\CerbFix\MinHook.NET.dll","MinHook.NET.dll","237056","4A0A9D6D165EB9D896B86DBDF89423742588C198AF089B17B58FDB827F51D727","4A0A9D6D","True","MinHook.NET","1.1.1.0",""
"DLLs\NEW\Chemical_Scan_Patch.dll","Chemical_Scan_Patch.dll","5120","C5DE0A5104108EBE9429C9F0E6EE618B52583A301C3E3DBBF90241954D48CEAA","C5DE0A51","True","Chemical Scan Patch","1.0.0.0",""
"DLLs\NEW\DODPatch.dll","DODPatch.dll","5632","359EBE88FE111C3C081F7BAEBEEA98AA0228534369BE2455F4715325C22A95B5","359EBE88","True","DODPatch","1.0.0.0",""
"DLLs\NEW\FlashPatch.dll","FlashPatch.dll","5120","A3B1D3F8DE6D2E0A61548A32EA6D79F48E64CB7A238AFF14AB8D6A780BCA4E94","A3B1D3F8","True","FlashPatch","1.0.0.0",""
"DLLs\NEW\FoamControll.dll","FoamControll.dll","6144","4A4FBE365E19303AF1D2CD6A23A80A15C182BC86B024EF0A0F21DDF72E78F14C","4A4FBE36","True","FoamControll","1.0.0.0",""
