"SourcePath","RelativePath","FileName","Stem","Length","LastWriteTime","SHA256","Hash8","Managed","AssemblyName","Version","Error"
"Samples/AdminExploit.dll","AdminExploit.dll","AdminExploit.dll","AdminExploit","9728","09.06.2026 14:08:24","8748E9EE12801AA92AFDF58A8CED85930B9795CC317540DC8878B477D2A777D6","8748E9EE","True","TextHelper","1.0.0.0",""
"Samples/AdminPatch.dll","AdminPatch.dll","AdminPatch.dll","AdminPatch","6656","09.06.2026 14:08:28","5956B7ADACB5A80F8466B21500A12C6B372CB66FF751C2A09DE513C226A77EB2","5956B7AD","True","AdminPatch","1.0.0.0",""
"Samples/AdminSliver.dll","AdminSliver.dll","AdminSliver.dll","AdminSliver","19968","09.06.2026 14:08:38","F8831DE1DF18C9A64EAF546E30D44556ECBC73D4F85739DAB4C0E23F8E3313AB","F8831DE1","True","AdminSliver","1.0.0.0",""
"Samples/AHelpBomber.dll","AHelpBomber.dll","AHelpBomber.dll","AHelpBomber","7168","09.06.2026 14:08:43","9940328D1EF70BB895350A51B1C05253253DA5C65BB7451DEC47851552D015CF","9940328D","True","AhelpBomber","1.0.0.0",""
"Samples/AhelpNot.dll","AhelpNot.dll","AhelpNot.dll","AhelpNot","4608","09.06.2026 14:31:47","3ABB56C2C64B2710E5853238B815C74C28648E9D5DBD8526FAB71D911543DB5D","3ABB56C2","True","AhelpNot","1.0.0.0",""
"Samples/Based.dll","Based.dll","Based.dll","Based","32768","09.06.2026 14:08:46","70B16B989143769DF97D7CA3A089D102FC7D151459E30BCDB79E2541967C58A4","70B16B98","True","Based","1.0.0.0",""
"Samples/BBT.Ware.dll","BBT.Ware.dll","BBT.Ware.dll","BBT.Ware","35840","09.06.2026 14:08:50","6D3B2690D4CF22E880F7A1A0991BADCD702CE877DCAE7B5EC0F8D4E979F4CFFF","6D3B2690","True","BBT.Ware","1.0.0.0",""
"Samples/CMExploit.dll","CMExploit.dll","CMExploit.dll","CMExploit","6656","09.06.2026 14:08:53","0114964124566E0EDA86D45F8460BD03A9F504A24861A8EDC7F9069247D2BF7F","01149641","True","CMExploit","1.0.0.0",""
"Samples/CommandPermissionPatch.dll","CommandPermissionPatch.dll","CommandPermissionPatch.dll","CommandPermissionPatch","4608","09.06.2026 14:07:37","FA4C8C416B21499A9B86AD8287B2BD299EBABC915208584B97AE7CC82A95F69E","FA4C8C41","True","CommandPermissionPatch","1.0.0.0",""
"Samples/DODPatch.dll","DODPatch.dll","DODPatch.dll","DODPatch","5632","09.06.2026 14:07:42","465FF6E59622C6C43CDAA7108C15910BC44B4A3510777BF00D16C8FD83AA85BD","465FF6E5","True","DODPatch","1.0.0.0",""
"Samples/fayliki dlya bistrogo vzyatiya prof gosta.dll","fayliki dlya bistrogo vzyatiya prof gosta.dll","fayliki dlya bistrogo vzyatiya prof gosta.dll","fayliki dlya bistrogo vzyatiya prof gosta","440","09.06.2026 14:27:53","20F35AD8D3C1239B0FFD93588C40EA297DAFA61C49CBFEAD89313DE07A4B71BD","20F35AD8","False","","","MethodInvocationException: Exception calling ""GetAssemblyName"" with ""1"" argument(s): ""Unknown file format."""
"Samples/FireStationBypass.dll","FireStationBypass.dll","FireStationBypass.dll","FireStationBypass","10752","09.06.2026 14:07:47","36438BFC3136DAC0375A326C23B2441480B5309578A8974D2F155494A1D85418","36438BFC","True","FireStationBypass","1.0.0.0",""
"Samples/FlashPatch.dll","FlashPatch.dll","FlashPatch.dll","FlashPatch","5120","09.06.2026 14:07:54","458DA83985DDC433DBB8930EE35DE962EB8EF7640110C124C4A20A49867C0F86","458DA839","True","FlashPatch","1.0.0.0",""
"Samples/FoamControll.dll","FoamControll.dll","FoamControll.dll","FoamControll","6144","09.06.2026 14:08:00","4A4FBE365E19303AF1D2CD6A23A80A15C182BC86B024EF0A0F21DDF72E78F14C","4A4FBE36","True","FoamControll","1.0.0.0",""
"Samples/ForceListing_1.dll","ForceListing_1.dll","ForceListing_1.dll","ForceListing_1","5632","09.06.2026 14:12:33","AEBE1B6210D28E62A483890D5579EA5CA1387433C58EA8CB327DB1AAD8BD5247","AEBE1B62","True","ForceListing","1.0.0.0",""
"Samples/FreeOverlay.dll","FreeOverlay.dll","FreeOverlay.dll","FreeOverlay","8192","09.06.2026 14:08:05","15CB78F7150907000F7FC0C19A3722D1E8FFB27FA1AD3327EC9F9AEEC14C6381","15CB78F7","True","ClassLibrary1","1.0.0.0",""
"Samples/FrontierExploit.dll","FrontierExploit.dll","FrontierExploit.dll","FrontierExploit","6656","09.06.2026 14:08:09","0BE2E8890CBE889AE08B2C9AB3D288CA43F6DD2B8477057A594331BDCEF5E56E","0BE2E889","True","FrontierExploit","1.0.0.0",""
"Samples/fullhud.dll","fullhud.dll","fullhud.dll","fullhud","8192","09.06.2026 14:12:43","77AFC8A668221D7D17E0D98BC47CF5ED6B88B1ED4C452A10DCFAE9E8F5083489","77AFC8A6","True","superhudoverlay","1.0.0.0",""
"Samples/GhostPatch.dll","GhostPatch.dll","GhostPatch.dll","GhostPatch","7168","09.06.2026 14:08:14","CA3CCA8F979A256D5C2F5D157085C10A383ABE1D270B307E4FE92FE1CB67A737","CA3CCA8F","True","GhostPatch","1.0.0.0",""
"Samples/HudOverlaysPatch.dll","HudOverlaysPatch.dll","HudOverlaysPatch.dll","HudOverlaysPatch","6144","09.06.2026 14:06:54","389A17AEB18BF3EC2797EC9717BE410BBE72E93F3B547EC4EA1A447FCE0F2A1B","389A17AE","True","HudOverlaysPatch","1.0.0.0",""
"Samples/jerk.dll","jerk.dll","jerk.dll","jerk","7680","09.06.2026 14:06:59","916B0BD4CEE5A3C12EB5A611C44DC52A508F875D83178FE03D17032C71768FFA","916B0BD4","True","jerk","1.0.0.0",""
"Samples/Lidgren.Network.dll","Lidgren.Network.dll","Lidgren.Network.dll","Lidgren.Network","122880","09.06.2026 14:07:04","25A1CBC64BC75497DC6C67FE8A3246529C762271C68F8AD4C2864F8973E6CFBD","25A1CBC6","True","Lidgren.Network","2012.1.7.0",""
"Samples/LightDisabler.dll","LightDisabler.dll","LightDisabler.dll","LightDisabler","5632","09.06.2026 14:07:09","091466FF7FBA9BCA49448C21F20F15130DDC2F6363FC95050D4E9AEB7E450CC1","091466FF","True","LightDisabler","1.0.0.0",""
"Samples/NetLogger.dll","NetLogger.dll","NetLogger.dll","NetLogger","22016","09.06.2026 14:07:14","3ED27194685D3720A142A13391FD82FDB91F14C3BD5FA22B3B0BB371B944557D","3ED27194","True","NetLogger","1.0.0.0",""
"Samples/NoOverlay.dll","NoOverlay.dll","NoOverlay.dll","NoOverlay","8192","09.06.2026 14:07:19","EF47584CDFAA5F9F3D4BB67ADE2A7BD9FA60FD687C683F237F9DA8F6DED0D53A","EF47584C","True","NoOverlay","1.0.0.0",""
"Samples/OverlaysPatch_1.dll","OverlaysPatch_1.dll","OverlaysPatch_1.dll","OverlaysPatch_1","7168","09.06.2026 14:12:38","2D905D352D355E603092DC6517E238096314F63EDA7E13905557FED95BBB5DCB","2D905D35","True","OverlaysPatch","1.0.0.0",""
"Samples/OverlaysPatch.dll","OverlaysPatch.dll","OverlaysPatch.dll","OverlaysPatch","8192","09.06.2026 14:07:24","A8C1E6C105EDDD82A1D6A9E5B3D438A4227ED45AF4DABB937560BB4EE4AAAA9C","A8C1E6C1","True","OverlaysPatch","1.0.0.0",""
"Samples/Rethemer.dll","Rethemer.dll","Rethemer.dll","Rethemer","13824","09.06.2026 14:07:30","7E41D3FAE2529564DD3D48C4DF873E9EA4B2537FCEBC93B3CC3752F15ECB38B7","7E41D3FA","True","Rethemer","1.0.0.0",""
"Samples/Robusto_1.dll","Robusto_1.dll","Robusto_1.dll","Robusto_1","8704","09.06.2026 14:06:07","5AAF4029DD4FF60DC12767C39DE4A1467C2ABFEB6E7479B1759F46F551D8014C","5AAF4029","True","Robusto","1.0.0.0",""
"Samples/RotatePath.dll","RotatePath.dll","RotatePath.dll","RotatePath","5632","09.06.2026 14:06:13","4395DA068FF2FB8008FC2E6021F4317B2F256702F798660A2507D314CF1A7743","4395DA06","True","RotatePath","1.0.0.0",""
"Samples/Serilog.dll","Serilog.dll","Serilog.dll","Serilog","161280","09.06.2026 14:06:17","BA73B4BF7C8EF54303AD3CE540AC61855E0CD0D8396AD622059D43CCDEA1C854","BA73B4BF","True","Serilog","4.2.0.0",""
"Samples/somth.dll","somth.dll","somth.dll","somth","7168","09.06.2026 14:06:22","167A5201B6C93C736A056ED8560BAB3438FD20BE5D87CFE3246B08D26D2C2730","167A5201","True","somth","1.0.0.0",""
"Samples/SukaDaKakogoHuya.dll","SukaDaKakogoHuya.dll","SukaDaKakogoHuya.dll","SukaDaKakogoHuya","7680","09.06.2026 14:06:33","00612F05F927465C4044AD21B74AE867326C05F45587171A509B94BADD1C1866","00612F05","True","SukaDaKakogoHuya","1.0.0.0",""
"Samples/SuperGovnoWare.dll","SuperGovnoWare.dll","SuperGovnoWare.dll","SuperGovnoWare","4608","09.06.2026 14:06:38","435329C41AA1CC63A9A674D6FB8AA9CB9AE94C56408669BFA92AFB56F5D6F5F9","435329C4","True","SuperGovnoWare","1.0.0.0",""
